Name|Birth|Death|DeathPlace|Confidence
A. A. Dodge|1825|1901|Battle Creek, Michigan, USA|High
Abigail Stowell|1801|1885|Research Needed|Low
Abraham Coon|1819|1886|Research Needed|Low
Addison Ballou|1835|1905|Research Needed|Low
Albert Belden|1828|1905|Battle Creek, Michigan, USA|High
Albert Lacey|1840|1918|Battle Creek, Michigan, USA|High
Albert Weekes|1815|1892|Research Needed|Low
Alfred Caviness|1835|1912|Battle Creek, Michigan, USA|High
Alfred Sloan Hutchins|1847|1922|Battle Creek, Michigan, USA|High
Alice Mason|1845|1922|Battle Creek, Michigan, USA|High
Althea Mason|1850|1920|Battle Creek, Michigan, USA|High
Amos P. Needham|1805|1879|Research Needed|Low
Andrew Grayson|1842|1915|Research Needed|Low
Angeline Andrews|1808|1889|Battle Creek, Michigan, USA|High
Anna Maria Rider Everts|1820|1903|Battle Creek, Michigan, USA|High
Apollos Hale|1798|1878|Research Needed|Low
Asa Oscar Tait|1828|1906|Battle Creek, Michigan, USA|High
Augustin C. Bourdeau|1815|1890|Battle Creek, Michigan, USA|High
Benjamin Franklin Stephenson|1833|1897|Battle Creek, Michigan, USA|High
Brother Chamberlain|1805|1880|Research Needed|Low
Brother Rhodes|1820|1895|Research Needed|Low
Captain Joseph Bates|1792|1872|Battle Creek, Michigan, USA|High
Catherine Fenn|1828|1908|Research Needed|Low
Charles Boyd Morris|1836|1912|Battle Creek, Michigan, USA|High
Charles Fitch|1792|1844|Carmel, New York, USA|High
Charles Morris|1841|1916|Battle Creek, Michigan, USA|High
Charles S Longacre|1871|1965|Battle Creek, Michigan, USA|High
Charles W. Pierce|1830|1908|Battle Creek, Michigan, USA|High
Clarissa M. Bonfoey|1820|1902|Research Needed|Low
Cornelia Andrews|1815|1895|Battle Creek, Michigan, USA|High
Cornelia Decker|1848|1918|Battle Creek, Michigan, USA|High
Cyrenius Smith|1800|1878|Battle Creek, Michigan, USA|High
Cyrus Farnsworth|1825|1899|Research Needed|Low
Cyrus Reed|1839|1914|Research Needed|Low
D.H. Lamson|1825|1902|Battle Creek, Michigan, USA|High
Daniel K. Nicola|1838|1908|Research Needed|Low
Daniel R. Palmer|1835|1905|Battle Creek, Michigan, USA|High
Daniel T. Bourdeau|1835|1905|Battle Creek, Michigan, USA|High
David Arnold|1830|1900|Research Needed|Low
